run,depth,lr,l2,best_it,val_rmse,val_mae,val_r2
8,8,0.05,10.0,299,391.4193109036228,241.37291951791696,0.6691486893563532
2,8,0.05,3.0,233,391.515772043393,237.50061417178816,0.6689855996666021
6,8,0.05,1.0,273,396.3560784852746,241.5651986162929,0.6607503493329282
7,8,0.05,5.0,666,396.88936936913643,243.82464740931164,0.6598368250170514
1,6,0.05,3.0,218,398.3298703407969,245.44120945513097,0.6573631149422023
4,8,0.03,3.0,535,400.6122326859541,242.79438671217073,0.6534253638066987
5,8,0.1,3.0,129,401.8038533842535,243.60530267235825,0.6513605255978386
3,10,0.05,3.0,322,420.3120438162042,252.45217832281836,0.6185022045306742
