iter	RMSE
227	199.9475667
228	199.3293064
229	199.0248614
230	198.3908155
231	198.1414804
232	197.5036925
233	197.0346947
234	196.7557318
235	196.2850997
236	195.5436673
237	194.9020645
238	194.8325204
239	194.6768742
240	194.0472198
241	193.6658543
242	193.2109013
243	193.1528848
244	193.0524059
245	192.6681519
246	192.0027312
247	191.4552568
248	191.2562049
249	190.4867828
250	190.4287906
251	190.1837089
252	190.0832846
253	189.8060088
254	189.1064836
255	189.0802942
256	188.6388268
257	188.1036462
258	187.9647563
259	187.3489961
260	186.8055209
261	186.0900591
262	185.478547
263	185.3639224
264	185.1647963
265	184.5371957
266	184.1724866
267	183.6418013
268	183.5980676
269	183.5552725
270	182.9505293
271	182.8658572
272	182.8125127
273	182.1104425
274	181.5819658
275	181.0009248
276	180.4690786
277	179.7169465
278	179.2784979
279	178.8805061
280	178.306752
281	177.920282
282	177.8810314
283	177.4257845
284	176.8638105
285	176.4252037
286	176.197882
287	176.027162
288	175.5828061
289	175.1803018
290	174.6758558
291	174.0810168
292	173.6290249
293	173.2179177
294	172.9504661
295	172.1827759
296	171.8351194
297	171.4400611
298	170.909297
299	170.347742
300	170.269165
301	169.7260105
302	169.6895661
303	169.4830627
304	169.2890243
305	168.7248436
306	168.6553371
307	168.2549584
308	168.1631741
309	167.6684687
310	167.2474822
311	167.1680641
312	166.7758076
313	166.6869991
314	166.6404546
315	166.1258826
316	165.5705402
317	164.9704195
318	164.8863329
319	164.5601201
320	164.0616797
321	163.3659109
322	163.1938472
323	162.7038932
324	162.4523884
325	162.410646
326	161.7886903
327	161.770626
328	161.4073693
329	161.3696255
330	161.279763
331	160.8089865
332	160.2017367
333	160.1825757
334	159.9232665
335	159.6881373
336	159.6618165
337	159.6226938
338	159.4674325
339	159.4412614
340	159.0476357
341	158.7783016
342	158.7537821
343	158.7189351
344	158.6964722
345	158.2640582
346	158.2425607
347	157.65896
348	157.3282923
349	157.061236
350	156.8693398
351	156.3487968
352	156.0560109
353	155.3634747
354	154.8005116
355	154.753396
356	154.3688734
357	154.2324299
358	153.7067896
359	153.2310574
360	152.7916157
361	152.6325632
362	152.4203909
363	152.3952916
364	152.042956
365	151.5208443
366	151.379784
367	150.8713501
368	150.5840004
369	150.5704553
370	150.242518
371	150.161341
372	149.8499457
373	149.7158708
374	149.523732
375	149.3791646
376	148.8977029
377	148.6207196
378	148.2708006
379	148.1361668
380	148.1021759
381	147.7945088
382	147.7620846
383	147.7481513
384	147.2835977
385	146.8230624
386	146.562152
387	146.1919466
388	145.6933837
389	145.6474053
390	145.6314809
391	145.6099674
392	145.4522464
393	145.1337073
394	144.6734677
395	144.6605265
396	144.0062795
397	143.6704214
398	143.2763221
399	143.2043399
400	142.7332918
401	142.6354036
402	142.2749089
403	142.030923
404	141.6224443
405	141.2157852
406	140.7805533
407	140.5961603
408	140.5479522
409	140.389109
410	140.0223126
411	139.7156267
412	139.455091
413	139.092864
414	139.0731088
415	138.8628221
416	138.5980681
417	138.5713491
418	138.1835814
419	137.9034373
420	137.8756524
421	137.8564508
422	137.5501948
423	137.3973156
424	136.8446186
425	136.4150735
426	136.0743686
427	135.9254698
428	135.7473863
429	135.7138079
430	135.3460804
431	134.8672739
432	134.3658557
433	134.0525968
434	134.0255702
435	133.6460583
436	133.4452009
437	132.9874135
438	132.6718313
439	132.6342384
440	132.4184827
441	132.3132899
442	131.7684419
443	131.4529773
444	130.9619438
445	130.5029246
446	130.0888065
447	129.6952106
448	129.4213329
449	129.1344674
450	128.7627555
451	128.5570471
452	128.5466539
453	128.3387944
454	127.7757004
455	127.7458356
456	127.7314935
457	127.457089
458	127.1341868
459	126.9140653
460	126.5830054
461	126.2171589
462	126.0052462
463	125.7287694
464	125.3340554
465	125.2493145
466	125.1486752
467	125.0269698
468	124.8174868
469	124.697856
470	124.3440832
471	124.3097686
472	124.0631607
473	123.9911735
474	123.9691887
475	123.7058173
476	123.4773776
477	123.1308232
478	122.8092641
479	122.2679197
480	121.977429
481	121.6354142
482	121.5638024
483	121.4631339
484	121.338992
485	121.3228739
486	121.2781006
487	121.1021005
488	120.6721096
489	120.3442971
490	120.3289036
491	119.896686
492	119.7839642
493	119.5416593
494	119.1582097
495	119.1341344
496	118.9980274
497	118.8101009
498	118.5915785
499	118.1922933
